gamelabel,gamedate,versus,guestteam,hometeam,scoreoverall,score1st,score2nd,score3rd,score4th,extratime,guesttp,hometp
13-14_01-21_ORL-BKN,01-21,ORL-BKN,ORL,BKN,90-101,21-27,21-19,14-27,34-28,,"Arron Afflalo;F;1855;4;9;1;2;2;4;0;2;2;0;1;0;3;2;11;
Tobias Harris;F;1981;3;8;1;2;0;0;0;4;4;1;0;0;3;3;7;
Glen Davis;C;1443;5;11;0;1;0;0;1;6;7;0;0;0;1;1;10;
Victor Oladipo;G;1851;3;9;1;4;3;4;0;6;6;5;2;0;1;1;10;
Jameer Nelson;G;1697;2;6;1;2;4;4;1;1;2;10;0;0;2;2;9;
E'Twaun Moore;null;1473;5;8;1;2;2;2;0;2;2;2;0;0;0;2;13;
Kyle O'Quinn;null;1437;6;10;0;1;3;6;4;4;8;1;0;2;1;1;15;
Andrew Nicholson;null;899;1;6;0;2;0;0;0;2;2;1;0;0;1;0;2;
Maurice Harkless;null;1440;3;4;1;2;0;0;0;4;4;2;2;0;1;2;7;
Doron Lamb;null;324;1;1;1;1;3;3;0;0;0;1;0;0;0;0;6;","Joe Johnson;F;1791;6;11;1;5;0;0;1;4;5;3;0;0;0;2;13;
Paul Pierce;F;1427;5;9;1;4;2;2;0;6;6;4;1;2;0;1;13;
Kevin Garnett;C;1089;4;5;0;0;0;0;1;4;5;1;1;0;3;1;8;
Alan Anderson;G;1327;3;6;1;4;0;0;0;1;1;1;1;0;1;2;7;
Shaun Livingston;G;1454;3;9;0;0;2;2;1;3;4;6;1;0;0;2;8;
Andray Blatche;null;1467;6;11;1;2;5;7;0;5;5;3;0;1;0;2;18;
Deron Williams;null;1688;4;10;1;4;0;0;0;1;1;9;2;0;1;2;9;
Andrei Kirilenko;null;1291;2;6;0;0;0;0;0;3;3;0;0;2;2;1;4;
Jason Terry;null;1303;1;2;1;1;2;2;1;1;2;0;1;0;0;1;5;
Mirza Teletovic;null;1239;5;10;4;8;0;0;2;1;3;2;2;0;1;1;14;
Mason Plumlee;null;324;1;2;0;0;0;0;0;1;1;0;0;0;0;1;2;"
13-14_01-21_POR-OKC,01-21,POR-OKC,POR,OKC,97-105,27-21,25-30,23-26,22-28,,"Nicolas Batum;F;2125;1;4;1;2;0;0;2;3;5;2;2;2;2;2;3;
LaMarcus Aldridge;F;2221;12;26;0;0;5;8;5;11;16;2;0;0;3;0;29;
Robin Lopez;C;2005;5;10;0;0;0;0;3;7;10;2;0;1;0;1;10;
Wesley Matthews;G;2110;7;15;4;8;3;4;1;3;4;4;1;0;1;0;21;
Damian Lillard;G;2124;6;15;0;5;2;4;0;2;2;4;1;1;0;1;14;
Mo Williams;null;1580;6;10;1;2;0;0;1;1;2;9;0;0;3;3;13;
Joel Freeland;null;827;1;2;0;0;0;0;1;1;2;0;0;0;0;4;2;
CJ McCollum;null;756;2;3;1;2;0;0;0;0;0;0;0;0;0;1;5;
Thomas Robinson;null;652;0;1;0;0;0;0;0;4;4;0;0;1;0;0;0;","Kevin Durant;F;2265;17;25;6;7;6;7;0;5;5;4;0;0;4;2;46;
Serge Ibaka;F;1890;4;15;0;0;2;2;1;4;5;0;0;5;1;2;10;
Kendrick Perkins;C;1621;2;4;0;0;0;0;3;5;8;2;1;1;1;4;4;
Thabo Sefolosha;G;1834;2;3;1;1;0;0;0;2;2;0;0;1;0;0;5;
Reggie Jackson;G;2302;7;18;1;2;0;0;2;5;7;5;0;0;1;1;15;
Nick Collison;null;1153;1;2;0;0;0;0;5;2;7;1;0;0;0;2;2;
Jeremy Lamb;null;1230;4;10;0;2;1;4;2;2;4;1;1;0;0;0;9;
Steven Adams;null;1039;2;3;0;0;0;0;2;4;6;1;0;1;0;2;4;
Derek Fisher;null;1066;3;7;2;3;2;4;0;1;1;2;1;0;0;1;10;"
13-14_01-21_SAC-NOP,01-21,SAC-NOP,SAC,NOP,114-97,38-20,26-36,27-14,23-27,,"Rudy Gay;F;2548;16;25;5;8;4;6;3;5;8;5;0;0;3;5;41;
Jason Thompson;F;2154;5;8;0;0;1;1;2;6;8;1;0;1;1;6;11;
DeMarcus Cousins;C;1756;6;10;0;0;6;9;2;9;11;6;3;4;3;3;18;
Marcus Thornton;G;1731;3;7;0;3;0;0;1;0;1;1;0;2;1;3;6;
Isaiah Thomas;G;2337;6;17;3;8;5;6;0;3;3;11;3;0;4;2;20;
Derrick Williams;null;1369;3;5;0;1;2;3;0;1;1;0;1;0;0;1;8;
Quincy Acy;null;1403;1;4;0;0;1;4;6;4;10;1;0;1;0;3;3;
Ben McLemore;null;421;0;1;0;0;0;0;0;1;1;0;0;1;0;1;0;
Jimmer Fredette;null;449;2;3;1;1;0;0;0;0;0;0;0;1;0;1;5;
Aaron Gray;null;138;0;1;0;0;2;2;1;2;3;0;0;0;0;0;2;
Ray McCallum;null;94;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;","Al-Farouq Aminu;F;1517;3;5;1;1;2;3;1;3;4;0;1;0;1;4;9;
Anthony Davis;F;2190;4;12;0;0;8;11;2;4;6;2;2;4;4;3;16;
Greg Stiemsma;C;669;0;2;0;0;0;0;1;2;3;1;0;0;1;3;0;
Eric Gordon;G;1625;2;6;1;2;2;4;0;1;1;1;1;0;3;2;7;
Brian Roberts;G;1770;6;10;0;2;3;3;0;2;2;6;0;0;0;0;15;
Tyreke Evans;null;1573;6;15;0;2;5;6;1;2;3;3;0;0;3;4;17;
Alexis Ajinca;null;958;2;3;0;0;0;0;1;3;4;1;1;1;2;4;4;
Darius Miller;null;1007;1;2;1;2;0;0;0;4;4;0;1;0;0;3;3;
Austin Rivers;null;1464;4;8;2;2;2;6;1;2;3;2;0;0;0;0;12;
Jeff Withey;null;1627;5;6;0;0;4;5;2;3;5;2;2;2;0;5;14;"
13-14_01-22_ATL-ORL,01-22,ATL-ORL,ATL,ORL,112-109,29-21,31-35,28-24,24-29,,"DeMarre Carroll;F;1427;6;7;3;4;2;2;3;5;8;2;1;0;1;0;17;
Paul Millsap;F;2303;9;17;1;3;5;6;2;4;6;5;3;5;3;2;24;
Pero Antic;C;1987;2;9;1;6;5;6;2;10;12;1;1;0;2;2;10;
Kyle Korver;G;2151;5;11;2;5;0;0;0;5;5;7;1;1;0;2;12;
Jeff Teague;G;2125;7;14;2;3;7;8;0;5;5;2;3;0;4;1;23;
Elton Brand;null;805;1;2;0;0;2;2;0;1;1;0;1;0;1;3;4;
Mike Scott;null;1086;5;9;0;1;0;0;1;3;4;0;0;1;1;0;10;
Lou Williams;null;1303;1;4;0;1;0;0;0;0;0;6;0;0;3;2;2;
Shelvin Mack;null;1213;5;10;0;2;0;0;0;1;1;3;1;0;2;1;10;","Arron Afflalo;F;1771;3;9;0;1;0;0;0;1;1;3;0;0;2;2;6;
Tobias Harris;F;2062;7;16;0;2;5;5;2;10;12;1;0;0;3;4;19;
Glen Davis;C;1853;4;10;0;0;1;2;1;1;2;3;1;0;1;3;9;
Victor Oladipo;G;2042;8;13;2;2;6;7;1;6;7;7;2;1;2;3;24;
Jameer Nelson;G;1778;6;11;0;2;5;5;0;1;1;7;1;0;4;1;17;
E'Twaun Moore;null;-1;1;4;0;0;0;0;0;1;1;1;3;0;1;2;2;
Maurice Harkless;null;1339;4;5;1;1;3;3;0;3;3;1;0;0;0;0;12;
Kyle O'Quinn;null;1279;2;7;0;0;1;2;1;2;3;1;0;0;1;2;5;
Andrew Nicholson;null;216;1;2;0;0;0;0;0;1;1;0;0;0;0;0;2;
Jason Maxiell;null;350;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;
Doron Lamb;null;1133;5;6;3;4;0;0;0;1;1;0;0;0;0;6;13;"
13-14_01-22_BOS-WAS,01-22,BOS-WAS,BOS,WAS,113-111,32-22,29-21,15-30,23-26,14-12;,"Jeff Green;F;2744;14;26;8;16;3;5;0;9;9;1;3;1;1;2;39;
Jared Sullinger;F;2010;5;11;1;3;3;4;3;8;11;1;0;1;4;3;14;
Kris Humphries;C;2096;3;10;0;1;2;2;0;6;6;3;2;3;0;1;8;
Gerald Wallace;G;2427;2;4;0;1;5;6;1;5;6;9;4;1;2;2;9;
Phil Pressey;G;2071;7;10;5;6;1;2;0;1;1;4;2;1;5;6;20;
Chris Johnson;null;1775;3;9;1;6;2;2;0;2;2;1;4;0;2;2;9;
Brandon Bass;null;1330;4;10;0;0;0;0;0;2;2;0;0;1;2;3;8;
Kelly Olynyk;null;899;2;6;0;1;0;0;1;2;3;1;0;0;0;2;4;
Joel Anthony;null;295;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;
Vander Blue;null;253;1;2;0;0;0;2;0;2;2;1;0;0;2;0;2;","Trevor Ariza;F;2568;5;8;4;6;0;0;0;2;2;2;3;1;2;3;14;
Nene;F;2031;7;14;0;0;3;5;3;6;9;3;1;1;2;3;17;
Marcin Gortat;C;2662;4;8;0;0;3;5;2;11;13;2;3;1;1;2;11;
Bradley Beal;G;1818;7;16;0;4;0;0;1;2;3;4;0;1;3;1;14;
John Wall;G;2644;9;29;0;4;10;13;1;10;11;10;3;0;6;5;28;
Kevin Seraphin;null;447;2;3;0;0;0;0;0;1;1;0;0;0;0;1;4;
Martell Webster;null;1978;3;9;3;8;1;1;0;2;2;0;0;0;2;4;10;
Trevor Booker;null;1218;4;6;0;0;1;1;5;3;8;2;0;0;0;3;9;
Garrett Temple;null;536;1;1;0;0;2;2;0;1;1;0;0;0;2;1;4;"
13-14_01-22_CHI-CLE,01-22,CHI-CLE,CHI,CLE,98-87,23-17,20-27,28-18,27-25,,"Mike Dunleavy;F;2323;9;14;4;5;0;0;0;2;2;4;1;0;1;3;22;
Taj Gibson;F;2573;11;15;0;0;4;6;1;4;5;2;1;3;0;3;26;
Joakim Noah;C;2338;3;7;0;0;3;4;3;15;18;6;1;2;4;2;9;
Jimmy Butler;G;2522;4;12;1;7;1;2;1;4;5;1;2;1;1;2;10;
D.J. Augustin;G;2322;8;14;5;8;6;6;0;5;5;7;0;0;2;1;27;
Tony Snell;null;1109;0;1;0;1;0;0;1;5;6;1;0;0;1;3;0;
Nazr Mohammed;null;542;1;5;0;0;0;0;1;0;1;0;0;2;0;2;2;
Mike James;null;553;1;2;0;0;0;0;0;1;1;3;0;0;1;2;2;
Cartier Martin;null;118;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;","Luol Deng;F;2393;2;11;0;2;7;9;1;4;5;1;1;0;1;4;11;
Tristan Thompson;F;2203;3;14;0;0;0;1;5;2;7;3;1;1;0;2;6;
Anderson Varejao;C;2045;5;10;0;0;0;1;7;4;11;5;2;0;3;3;10;
CJ Miles;G;1229;3;9;2;4;0;0;1;3;4;1;1;0;1;0;8;
Kyrie Irving;G;2242;10;19;5;7;1;1;3;3;6;5;1;0;1;2;26;
Dion Waiters;null;1663;6;13;1;4;2;2;0;1;1;3;0;0;0;4;15;
Jarrett Jack;null;1320;0;4;0;0;2;2;0;3;3;5;0;0;0;1;2;
Tyler Zeller;null;939;2;3;0;0;0;1;2;2;4;0;0;1;3;0;4;
Earl Clark;null;366;2;5;0;2;1;1;0;0;0;0;1;0;0;2;5;"
13-14_01-22_DAL-TOR,01-22,DAL-TOR,DAL,TOR,85-93,34-15,17-31,22-22,12-25,,"Shawn Marion;F;1854;3;11;0;2;0;0;1;3;4;2;1;0;1;0;6;
Jae Crowder;F;1259;2;3;1;2;2;2;1;3;4;0;0;1;2;3;7;
Samuel Dalembert;C;1042;1;3;0;0;2;2;3;4;7;0;1;0;3;4;4;
Monta Ellis;G;2262;9;18;2;5;1;2;0;1;1;6;0;0;8;3;21;
Jose Calderon;G;2049;5;11;2;4;1;2;1;3;4;5;0;0;1;2;13;
DeJuan Blair;null;1067;4;5;0;0;0;0;1;6;7;1;0;0;2;2;8;
Vince Carter;null;1331;3;7;1;2;1;1;0;1;1;4;1;0;1;5;8;
Brandan Wright;null;1510;5;7;0;0;3;5;0;3;3;0;1;0;1;2;13;
Shane Larkin;null;674;1;3;0;1;0;0;0;0;0;1;0;0;1;2;2;
Devin Harris;null;856;1;3;1;3;0;0;0;1;1;3;1;0;0;1;3;
Wayne Ellington;null;472;0;2;0;1;0;0;0;1;1;0;0;0;1;0;0;
Ricky Ledo;null;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;","Terrence Ross;F;1154;1;7;1;5;0;0;0;3;3;3;1;0;0;3;3;
Amir Johnson;F;1880;4;7;1;1;0;0;1;5;6;0;1;0;0;2;9;
Jonas Valanciunas;C;1540;3;6;0;0;6;8;2;8;10;0;0;0;4;3;12;
DeMar DeRozan;G;2269;15;22;1;1;9;14;1;2;3;3;1;1;4;1;40;
Kyle Lowry;G;2101;0;10;0;6;3;4;0;4;4;5;2;0;1;4;3;
John Salmons;null;1311;1;4;1;2;0;0;0;2;2;0;0;0;0;0;3;
Patrick Patterson;null;1144;3;7;0;1;0;0;4;1;5;1;0;0;2;2;6;
Greivis Vasquez;null;2011;5;13;3;7;4;6;0;2;2;7;3;0;2;2;17;
Charles Hayes;null;990;0;0;0;0;0;0;1;4;5;1;3;0;0;2;0;"
13-14_01-22_DET-MIL,01-22,DET-MIL,DET,MIL,101-104,28-25,28-25,29-31,16-23,,"Josh Smith;F;2050;2;10;0;0;4;8;2;4;6;6;3;0;3;1;8;
Greg Monroe;F;1732;7;11;0;0;4;6;1;8;9;4;0;0;2;3;18;
Andre Drummond;C;1989;4;7;0;0;3;4;4;8;12;1;2;3;1;2;11;
Kentavious Caldwell-Pope;G;2647;3;8;1;2;2;2;1;5;6;4;2;0;0;2;9;
Brandon Jennings;G;2219;11;23;3;8;5;6;1;3;4;4;2;1;2;2;30;
Kyle Singler;null;1148;0;7;0;4;0;0;0;1;1;0;0;0;1;3;0;
Rodney Stuckey;null;1954;8;16;0;1;7;8;0;2;2;1;0;0;3;1;23;
Will Bynum;null;661;1;2;0;0;0;0;0;0;0;1;2;0;2;1;2;","Ersan Ilyasova;F;1642;6;13;0;3;0;0;3;3;6;1;1;0;2;3;12;
John Henson;F;1239;6;9;0;0;0;4;1;2;3;0;0;3;1;4;12;
Ekpe Udoh;C;1454;1;3;0;0;2;2;2;2;4;2;0;0;2;2;4;
Giannis Antetokounmpo;G;1542;1;3;0;2;2;2;0;5;5;3;1;1;2;1;4;
Brandon Knight;G;2478;5;17;2;5;4;8;1;6;7;9;1;0;6;2;16;
Khris Middleton;null;1801;3;6;2;3;2;2;0;2;2;4;4;2;2;3;10;
Caron Butler;null;1949;12;21;2;10;4;4;1;6;7;5;1;1;0;5;30;
Miroslav Raduljica;null;1176;4;5;0;0;0;0;3;5;8;2;2;0;1;3;8;
Luke Ridnour;null;1119;3;7;2;4;0;0;1;2;3;3;1;0;2;1;8;"
13-14_01-22_IND-PHX,01-22,IND-PHX,IND,PHX,100-124,29-30,20-32,30-34,21-28,,"Paul George;F;2046;10;19;1;6;5;7;1;6;7;1;1;0;4;3;26;
David West;F;1637;6;11;0;0;1;3;3;2;5;3;1;0;2;1;13;
Roy Hibbert;C;1694;3;8;0;0;0;2;2;2;4;0;0;2;3;6;6;
Lance Stephenson;G;1732;3;9;0;0;0;1;1;4;5;4;1;0;2;2;6;
George Hill;G;1819;4;4;1;1;7;8;1;3;4;1;2;0;2;4;16;
Luis Scola;null;877;2;5;0;0;1;2;1;4;5;0;0;0;2;3;5;
Danny Granger;null;1278;3;5;1;2;0;0;0;2;2;0;0;0;3;1;7;
CJ Watson;null;695;1;3;0;1;2;2;1;0;1;3;1;0;0;1;4;
Ian Mahinmi;null;1158;0;1;0;0;2;2;0;2;2;0;0;2;0;5;2;
Rasual Butler;null;366;1;3;0;2;0;0;0;2;2;1;0;0;0;0;2;
Solomon Hill;null;366;1;1;0;0;0;0;0;0;0;0;0;0;1;0;2;
Donald Sloan;null;366;2;3;1;1;0;0;0;1;1;0;0;0;1;0;5;
Chris Copeland;null;366;2;3;1;2;1;1;0;1;1;1;0;0;0;2;6;","PJ Tucker;F;1657;5;6;1;1;2;2;0;5;5;1;0;0;1;2;13;
Channing Frye;F;1850;3;7;2;3;2;2;1;2;3;0;2;0;2;4;10;
Miles Plumlee;C;1784;5;8;0;0;1;2;3;4;7;1;1;0;0;1;11;
Gerald Green;G;1789;6;13;3;5;8;10;0;6;6;2;1;0;0;2;23;
Goran Dragic;G;1338;8;10;2;2;3;7;1;1;2;3;1;0;3;4;21;
Markieff Morris;null;1621;8;14;2;3;2;2;1;2;3;1;2;0;0;4;20;
Leandro Barbosa;null;1355;2;8;0;0;0;0;0;2;2;2;0;0;1;3;4;
Marcus Morris;null;1159;2;6;0;1;1;2;0;3;3;2;2;0;1;1;5;
Ish Smith;null;869;4;6;0;0;0;1;0;1;1;2;0;0;0;0;8;
Alex Len;null;327;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;
Dionte Christmas;null;327;1;1;1;1;2;2;1;1;2;1;0;0;0;1;5;
Archie Goodwin;null;178;0;1;0;0;2;2;0;0;0;0;0;0;0;0;2;
Viacheslav Kravtsov;null;146;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;"
13-14_01-22_LAC-CHA,01-22,LAC-CHA,LAC,CHA,91-95,25-26,24-22,21-24,21-23,,"Matt Barnes;F;1049;2;7;0;1;0;0;1;0;1;0;0;0;0;3;4;
Blake Griffin;F;2246;11;20;0;0;5;6;1;6;7;6;1;0;3;3;27;
DeAndre Jordan;C;1934;2;2;0;0;0;0;5;15;20;3;2;2;3;4;4;
JJ Redick;G;2151;7;14;1;6;0;0;0;2;2;1;1;0;4;2;15;
Darren Collison;G;1790;5;11;2;3;0;0;1;1;2;5;1;0;2;1;12;
Jared Dudley;null;1788;2;8;1;5;0;0;1;5;6;2;0;1;0;2;5;
Jamal Crawford;null;1653;8;21;2;8;2;3;0;1;1;4;0;1;1;1;20;
Ryan Hollins;null;662;1;1;0;0;0;0;1;2;3;1;0;0;0;0;2;
Darius Morris;null;282;1;3;0;2;0;0;0;0;0;0;0;0;0;1;2;
Byron Mullens;null;134;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;
Hedo Turkoglu;null;711;0;1;0;0;0;0;0;1;1;2;0;0;0;2;0;","Michael Kidd-Gilchrist;F;1517;3;7;0;0;2;2;0;2;2;0;2;2;0;3;8;
Josh McRoberts;F;1846;4;6;2;2;3;4;0;8;8;5;1;0;2;3;13;
Al Jefferson;C;2144;12;23;0;0;0;2;3;7;10;1;1;1;4;1;24;
Gerald Henderson;G;2145;6;14;0;0;1;4;1;6;7;3;1;0;0;1;13;
Ramon Sessions;G;2161;4;12;0;3;2;4;0;2;2;8;0;1;3;0;10;
Cody Zeller;null;1024;1;4;0;0;2;2;1;1;2;1;0;1;0;3;4;
Chris Douglas-Roberts;null;735;1;3;0;2;0;0;0;1;1;1;0;1;0;3;2;
Anthony Tolliver;null;1373;3;7;2;5;2;2;1;2;3;1;0;0;0;2;10;
Bismack Biyombo;null;736;0;0;0;0;0;0;1;4;5;0;0;0;0;0;0;
Jannero Pargo;null;719;5;8;1;3;0;0;0;1;1;2;1;0;1;1;11;"
13-14_01-22_OKC-SAS,01-22,OKC-SAS,OKC,SAS,111-105,30-24,25-29,21-22,35-30,,"Kevin Durant;F;2356;12;22;2;4;10;11;1;6;7;5;1;1;11;4;36;
Serge Ibaka;F;2239;7;14;0;1;0;0;2;7;9;0;2;5;1;2;14;
Kendrick Perkins;C;1283;1;3;0;0;0;0;0;3;3;1;0;0;0;5;2;
Thabo Sefolosha;G;1413;1;4;0;0;0;3;1;2;3;0;1;1;0;0;2;
Reggie Jackson;G;2300;12;17;3;3;0;0;0;2;2;8;2;0;0;4;27;
Jeremy Lamb;null;1415;4;11;1;4;0;0;1;1;2;5;0;0;0;1;9;
Steven Adams;null;850;0;2;0;0;1;2;4;3;7;0;1;0;2;3;1;
Derek Fisher;null;1066;3;4;3;4;0;0;0;0;0;1;0;0;1;2;9;
Nick Collison;null;954;3;3;0;0;0;0;2;2;4;1;1;0;0;3;6;
Perry Jones;null;524;2;3;1;2;0;0;0;1;1;0;0;0;0;1;5;","Kawhi Leonard;F;905;1;2;1;2;0;0;1;0;1;1;1;0;2;1;3;
Tim Duncan;F;1998;6;10;0;0;2;6;3;10;13;3;2;1;2;0;14;
Jeff Ayres;C;1330;1;3;0;0;1;2;1;1;2;4;0;0;1;2;3;
Marco Belinelli;G;2239;6;10;1;4;0;0;0;2;2;3;4;0;4;5;13;
Tony Parker;G;2319;14;22;1;2;8;8;1;1;2;4;1;1;3;1;37;
Manu Ginobili;null;1613;3;9;2;7;2;4;0;4;4;3;1;0;3;1;10;
Boris Diaw;null;1918;5;8;2;2;2;2;0;3;3;3;1;0;1;4;14;
Patty Mills;null;925;3;6;3;4;0;0;0;1;1;2;0;0;1;1;9;
Cory Joseph;null;746;1;3;0;1;0;0;1;0;1;2;0;1;0;2;2;
Matt Bonner;null;407;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;"
13-14_01-22_PHI-NYK,01-22,PHI-NYK,PHI,NYK,110-106,33-26,28-30,23-24,26-26,,"Evan Turner;F;2394;13;22;3;3;5;5;1;10;11;2;0;0;3;1;34;
Thaddeus Young;F;2322;8;21;1;4;2;3;4;3;7;4;4;1;2;5;19;
Spencer Hawes;C;1489;1;3;1;2;1;2;0;1;1;7;1;0;2;5;4;
James Anderson;G;2233;8;11;1;1;1;2;2;5;7;3;0;0;0;3;18;
Michael Carter-Williams;G;2195;5;18;2;2;7;10;6;6;12;7;2;0;3;4;19;
Hollis Thompson;null;778;2;3;1;1;0;0;1;5;6;1;0;0;0;3;5;
Lavoy Allen;null;1391;3;3;0;0;0;0;0;4;4;3;0;3;2;1;6;
Elliot Williams;null;867;1;3;0;1;0;0;1;0;1;1;1;0;1;0;2;
Dewayne Dedmon;null;550;1;3;0;0;1;2;1;2;3;0;0;0;1;2;3;
Lorenzo Brown;null;181;0;1;0;0;0;0;1;1;2;0;0;0;0;0;0;","Carmelo Anthony;F;2435;10;23;6;8;2;3;1;3;4;7;2;1;3;4;28;
Andrea Bargnani;F;1709;7;12;1;5;5;6;0;4;4;0;0;4;5;4;20;
Tyson Chandler;C;2111;4;7;0;0;2;2;2;12;14;1;0;3;1;1;10;
Raymond Felton;G;1844;4;10;1;3;0;0;1;1;2;7;1;1;1;4;9;
Iman Shumpert;G;2039;5;9;3;5;6;8;3;5;8;2;0;0;1;4;19;
J.R. Smith;null;2011;5;16;3;9;1;4;0;3;3;3;1;2;1;5;14;
Pablo Prigioni;null;1036;0;0;0;0;0;0;1;2;3;4;2;0;0;2;0;
Tim Hardaway Jr.;null;952;2;5;1;3;1;1;0;1;1;0;1;0;1;0;6;
Jeremy Tyler;null;263;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;"
13-14_01-22_SAC-HOU,01-22,SAC-HOU,SAC,HOU,98-119,22-29,22-26,29-33,25-31,,"Rudy Gay;F;359;2;5;0;0;0;0;0;0;0;0;0;0;0;0;4;
Jason Thompson;F;1345;6;8;0;0;0;0;3;5;8;1;1;0;1;4;12;
DeMarcus Cousins;C;568;1;2;0;0;0;2;0;4;4;3;1;2;0;2;2;
Marcus Thornton;G;1329;2;8;0;1;0;0;0;0;0;2;0;1;1;3;4;
Isaiah Thomas;G;2346;6;16;2;9;6;10;0;3;3;6;2;1;4;5;20;
Derrick Williams;null;2377;7;15;3;6;5;8;4;7;11;1;0;0;1;1;22;
Aaron Gray;null;707;0;3;0;0;0;2;0;2;2;1;1;0;0;1;0;
Ben McLemore;null;2108;3;10;3;7;2;2;0;1;1;0;0;0;2;5;11;
Quincy Acy;null;665;0;0;0;0;0;0;0;3;3;0;0;1;0;1;0;
Jimmer Fredette;null;1068;4;6;4;6;2;2;0;2;2;1;0;0;2;0;14;
Travis Outlaw;null;331;0;2;0;1;1;2;1;0;1;0;0;0;0;2;1;
Carl Landry;null;720;2;8;0;0;2;2;3;3;6;0;0;0;2;2;6;
Ray McCallum;null;477;1;3;0;0;0;0;0;1;1;4;0;1;0;0;2;","Chandler Parsons;F;2093;7;15;3;7;2;2;4;6;10;4;0;0;2;0;19;
Donatas Motiejunas;F;1741;2;6;0;1;2;3;1;8;9;2;0;1;1;6;6;
Dwight Howard;C;1948;10;13;0;0;6;17;4;9;13;1;1;4;2;1;26;
James Harden;G;1983;7;16;0;5;10;10;0;2;2;9;2;2;3;2;24;
Patrick Beverley;G;1991;2;9;1;4;1;2;1;5;6;8;2;1;0;4;6;
Omri Casspi;null;1983;9;15;2;5;0;0;3;9;12;1;1;0;1;4;20;
Jeremy Lin;null;1776;4;10;1;4;4;6;1;0;1;4;1;1;1;3;13;
Robert Covington;null;602;2;5;1;4;0;0;0;0;0;0;1;0;0;1;5;
Aaron Brooks;null;283;0;1;0;1;0;0;0;2;2;0;0;0;0;0;0;"
13-14_01-23_DEN-POR,01-23,DEN-POR,DEN,POR,105-110,30-27,37-32,24-27,14-24,,"Wilson Chandler;F;1953;7;11;1;2;3;4;0;3;3;0;1;1;4;5;18;
Kenneth Faried;F;1287;4;7;0;0;0;0;1;5;6;2;0;1;2;3;8;
JJ Hickson;C;2210;6;10;0;0;0;0;1;6;7;5;0;0;3;5;12;
Randy Foye;G;1591;5;10;4;9;0;0;1;2;3;5;0;1;1;3;14;
Ty Lawson;G;2258;3;11;0;2;7;9;0;2;2;11;2;0;3;4;13;
Anthony Randolph;null;984;4;5;2;3;2;2;1;2;3;1;1;1;1;2;12;
Quincy Miller;null;836;1;2;0;0;1;1;0;5;5;0;1;0;2;2;3;
Evan Fournier;null;841;2;7;0;2;0;0;0;2;2;0;0;0;1;0;4;
Timofey Mozgov;null;1249;3;4;0;0;2;2;3;1;4;2;0;2;1;3;8;
Nate Robinson;null;1193;4;12;3;5;2;2;0;0;0;1;0;0;1;3;13;","Nicolas Batum;F;2267;1;5;0;3;4;4;1;6;7;10;2;0;2;0;6;
LaMarcus Aldridge;F;2295;15;29;0;0;14;17;4;9;13;5;0;2;2;2;44;
Robin Lopez;C;2347;5;14;0;0;2;2;8;1;9;2;0;2;0;3;12;
Wesley Matthews;G;2366;8;15;2;6;6;6;0;1;1;4;1;0;1;3;24;
Damian Lillard;G;2197;5;10;0;4;1;1;0;2;2;3;0;2;3;3;11;
Mo Williams;null;1142;1;5;0;1;0;0;0;1;1;4;2;0;1;5;2;
Joel Freeland;null;518;0;2;0;0;0;0;1;0;1;0;0;0;0;2;0;
CJ McCollum;null;683;2;6;2;4;1;2;1;0;1;0;0;0;0;2;7;
Thomas Robinson;null;585;1;2;0;0;2;2;1;4;5;1;2;0;0;1;4;"
